timestamp,actual,target
0.0,102,0.0
0.029787302017211914,102,0.0
0.038108110427856445,102,0.0
0.04613351821899414,102,0.0
0.05454063415527344,102,0.0
0.06314349174499512,101,0.0
0.07149958610534668,100,0.0
0.07984113693237305,99,0.0
0.08815574645996094,98,0.0
0.09741711616516113,96,0.0
0.10607767105102539,94,0.0
0.11473917961120605,93,0.0
0.1240077018737793,91,0.0
0.13345837593078613,88,0.0
0.14266562461853027,86,0.0
0.15183258056640625,83,0.0
0.16062712669372559,81,0.0
0.16916203498840332,79,0.0
0.17968344688415527,76,0.0
0.18900132179260254,73,0.0
0.19838738441467285,70,0.0
0.20788145065307617,67,0.0
0.21734023094177246,64,0.0
0.22742128372192383,61,0.0
0.23661208152770996,58,0.0
0.24624276161193848,54,0.0
0.2546546459197998,52,0.0
0.26438236236572266,48,0.0
0.27359557151794434,46,0.0
0.2832489013671875,43,0.0
0.2919485569000244,41,0.0
0.3010730743408203,39,0.0
0.3098149299621582,37,0.0
0.3183724880218506,35,0.0
0.3269689083099365,33,0.0
0.33553409576416016,31,0.0
0.3443105220794678,29,0.0
0.35312843322753906,27,0.0
0.36193346977233887,25,0.0
0.3704829216003418,23,0.0
0.37914252281188965,22,0.0
0.3874988555908203,20,0.0
0.3959074020385742,19,0.0
0.40441131591796875,18,0.0
0.4125359058380127,17,0.0
0.4205441474914551,16,0.0
0.42968225479125977,14,0.0
0.4384801387786865,13,0.0
0.4474520683288574,12,0.0
0.4559049606323242,11,0.0
0.46439218521118164,10,0.0
0.4722607135772705,9,0.0
0.48033952713012695,9,0.0
0.4891393184661865,7,0.0
0.49729251861572266,7,0.0
0.5054733753204346,6,0.0
0.5136499404907227,6,0.0
0.5213606357574463,6,0.0
0.5300908088684082,5,0.0
0.5384798049926758,5,0.0
0.5471243858337402,4,0.0
0.5553667545318604,3,0.0
0.563676118850708,2,0.0
0.5717020034790039,1,0.0
0.580280065536499,0,0.0
0.5890042781829834,0,0.0
0.5974178314208984,-1,0.0
0.605522871017456,-2,0.0
0.6136431694030762,-2,0.0
0.6217293739318848,-3,0.0
0.6300346851348877,-3,0.0
0.638434886932373,-4,0.0
0.6466536521911621,-4,0.0
0.6548256874084473,-4,0.0
0.6626191139221191,-4,0.0
0.6705873012542725,-4,0.0
0.6789646148681641,-5,0.0
0.6871192455291748,-5,0.0
0.6953754425048828,-5,0.0
0.703577995300293,-6,0.0
0.7118189334869385,-6,0.0
0.7198894023895264,-6,0.0
0.7284114360809326,-7,0.0
0.7363631725311279,-7,0.0
0.7443482875823975,-7,0.0
0.7524161338806152,-7,0.0
0.7606182098388672,-8,0.0
0.769099235534668,-8,0.0
0.7773258686065674,-8,0.0
0.78513503074646,-8,0.0
0.7935354709625244,-9,0.0
0.8018112182617188,-9,0.0
0.8096652030944824,-9,0.0
0.8173506259918213,-9,0.0
0.8254783153533936,-9,0.0
0.833521842956543,-9,0.0
0.8418257236480713,-9,0.0
0.849956750869751,-9,0.0
0.8580496311187744,-9,0.0
0.8661007881164551,-9,0.0
0.874403715133667,-9,0.0
0.8823294639587402,-9,0.0
0.8901970386505127,-9,0.0
0.8981704711914062,-9,0.0
0.9068338871002197,-10,0.0
0.9145612716674805,-10,0.0
0.9224681854248047,-10,0.0
0.9304537773132324,-10,0.0
0.9385933876037598,-10,0.0
0.9468505382537842,-10,0.0
0.9552676677703857,-11,0.0
0.9635367393493652,-11,0.0
0.9716362953186035,-11,0.0
0.9800193309783936,-11,0.0
0.9878449440002441,-11,0.0
0.9956684112548828,-11,0.0
1.0038139820098877,-11,0.0
1.0125131607055664,-10,0.0
1.0203282833099365,-10,0.0
1.0284054279327393,-10,0.0
1.0365185737609863,-9,0.0
1.0448756217956543,-9,0.0
1.0526878833770752,-9,0.0
1.0606298446655273,-9,0.0
1.0686676502227783,-9,0.0
1.0776636600494385,-10,0.0
1.0853993892669678,-10,0.0
1.0931715965270996,-10,0.0
1.1013195514678955,-11,0.0
1.10996413230896,-11,0.0
1.117706060409546,-11,0.0
1.125532865524292,-11,0.0
1.1336116790771484,-11,0.0
1.1421678066253662,-11,0.0
1.1500535011291504,-11,0.0
1.157966136932373,-10,0.0
1.1661670207977295,-10,0.0
1.1743760108947754,-10,0.0
1.1824045181274414,-10,0.0
1.1901419162750244,-10,0.0
1.1991515159606934,-11,0.0
1.2077927589416504,-11,0.0
1.216686487197876,-11,0.0
1.2248015403747559,-11,0.0
1.232708215713501,-12,0.0
1.2406260967254639,-12,0.0
1.2484617233276367,-12,0.0
1.2570686340332031,-11,0.0
1.2653348445892334,-11,0.0
1.2730867862701416,-11,0.0
1.281296730041504,-10,0.0
1.2892799377441406,-10,0.0
1.2976806163787842,-10,0.0
1.3064424991607666,-10,0.0
1.3143789768218994,-10,0.0
1.322162389755249,-10,0.0
1.3303630352020264,-10,0.0
1.3383605480194092,-10,0.0
1.3466179370880127,-10,0.0
1.355196237564087,-11,0.0
1.3632655143737793,-11,0.0
1.3713345527648926,-11,0.0
1.3795802593231201,-11,0.0
1.3873915672302246,-11,0.0
1.3956804275512695,-10,0.0
1.4041671752929688,-9,0.0
1.4126307964324951,-9,0.0
1.4215061664581299,-8,0.0
1.430285930633545,-8,0.0
1.4386553764343262,-8,0.0
1.4472308158874512,-8,0.0
1.4565255641937256,-9,0.0
1.4646682739257812,-9,0.0
1.4729835987091064,-10,0.0
1.4810900688171387,-10,0.0
1.488792896270752,-10,0.0
1.4967334270477295,-10,0.0
1.50496244430542,-9,0.0
1.513141393661499,-8,0.0
1.5222179889678955,-8,0.0
